prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,43776,3,False,91643608.60004307,3751628.9999075523,442945334.0001146,442945334.0001146
0,43776,4,False,94027750.60002568,3701999.999975669,455057273.99995524,455057273.99995524
0,44032,1,False,79035719.39996254,3055499.0000837278,382686818.9999004,382686818.9999004
0,44032,2,False,92561080.59989856,3943429.999935688,446703383.99987483,446703383.99987483
0,44032,4,False,82706131.60007088,3660000.000081709,398679037.99995476,398679037.99995476
0,44288,1,False,79881069.6000146,3146029.9999253037,386660938.9999667,386660938.9999667
0,44288,2,False,86850103.00009708,3890150.0001884415,418519806.00017667,418519806.00017667
0,44288,4,False,97214041.99999598,3822208.99996355,470570202.00008994,470570202.00008994
0,44544,1,False,77982337.79999463,3109610.9998998144,377258069.99992526,377258069.99992526
0,44544,2,False,86005041.19999641,3919220.0001707533,414077537.0001393,414077537.0001393
0,44544,3,False,105540619.40001702,3864430.000021457,512044579.0000758,512044579.0000758
0,44544,4,False,81768101.40002999,3816410.00012678,393266618.0000979,393266618.0000979
0,44800,1,False,79819503.3999491,3144439.999914539,386201748.99983793,386201748.99983793
0,44800,2,False,83621659.19988911,3890659.9997972082,402280836.9998074,402280836.9998074
0,44800,4,False,102444687.80001625,3779449.999910867,496849561.00009006,496849561.00009006
0,45056,1,False,79495551.39998665,3199859.000005745,384450889.00016344,384450889.00016344
0,45056,2,False,91256160.80000328,4027510.000014445,439907804.0000859,439907804.0000859
0,45056,4,False,79969125.60006422,3719639.9998720153,384748029.0000931,384748029.0000931
0,45312,1,False,80113117.40001474,3140478.9999669446,387763779.0001245,387763779.0001245
0,45312,2,False,101957573.79997304,4808189.999948809,490290350.999885,490290350.999885
0,45312,3,False,106851479.40002935,3859740.000052625,518576517.999918,518576517.999918
0,45312,4,False,112815522.8000196,4602030.0001146095,545514685.9999331,545514685.9999331
0,45568,1,False,95671118.20006175,3169570.0001819204,465495363.0001728,465495363.0001728
0,45568,2,False,106192895.59999743,4829109.999946013,511427689.0001292,511427689.0001292
0,45568,4,False,93856100.3999439,4498508.999859041,451056023.999854,451056023.999854
